run_id,label,Statement->Step,Intention->Step,Goal->Intention,Goal->Step,Intention->ToolCall,ToolCall->Step,ToolCall->Observation,Observation->Step,Goal->Intention->ToolCall,Intention->ToolCall->Observation,Run->Step->TerminationSignal,Goal->Intention->ToolCall->Observation
aggregated_graph_std-007-bootstrap-00007,completed_True,0.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00008,completed_False,50.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0
aggregated_graph_std-007-bootstrap-00009,agent_invalid_action_False,39.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00010,completed_False,11.0,11.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00011,completed_True,39.0,55.0,20.0,6.0,4.0,5.0,5.0,1.0,0.0,4.0,8.0,0.0
aggregated_graph_std-007-bootstrap-00012,completed_False,102.0,13.0,0.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,5.0,0.0
aggregated_graph_std-007-bootstrap-00013,completed_False,19.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00014,agent_invalid_action_False,20.0,7.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00015,completed_False,19.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
aggregated_graph_std-007-bootstrap-00016,completed_False,44.0,7.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0
aggregated_graph_std-007-bootstrap-00017,completed_False,111.0,3.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0
aggregated_graph_std-007-bootstrap-00018,completed_False,34.0,20.0,7.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0
aggregated_graph_std-007-bootstrap-00019,completed_True,21.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00020,completed_True,10.0,6.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00021,completed_True,11.0,11.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00022,completed_False,14.0,18.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00023,completed_False,128.0,24.0,1.0,7.0,2.0,2.0,2.0,1.0,0.0,2.0,8.0,0.0
aggregated_graph_std-007-bootstrap-00024,completed_False,261.0,17.0,0.0,7.0,1.0,2.0,2.0,1.0,0.0,1.0,5.0,0.0
aggregated_graph_std-007-bootstrap-00025,completed_True,27.0,22.0,7.0,7.0,1.0,2.0,2.0,1.0,0.0,1.0,6.0,0.0
aggregated_graph_std-007-bootstrap-00026,completed_False,21.0,10.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
aggregated_graph_std-007-bootstrap-00027,completed_True,52.0,5.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0
aggregated_graph_std-007-bootstrap-00028,completed_True,5.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
aggregated_graph_std-007-bootstrap-00029,agent_invalid_action_False,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00030,completed_False,43.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00031,completed_False,12.0,8.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0
aggregated_graph_std-007-bootstrap-00032,completed_True,3.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00034,completed_True,16.0,14.0,0.0,11.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0
aggregated_graph_std-007-bootstrap-00036,completed_True,26.0,5.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0
aggregated_graph_std-007-bootstrap-00037,completed_True,29.0,4.0,0.0,3.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,0.0
aggregated_graph_std-007-bootstrap-00038,completed_True,31.0,8.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00039,agent_invalid_action_False,23.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00040,completed_True,108.0,48.0,0.0,4.0,0.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0
aggregated_graph_std-007-bootstrap-00041,agent_invalid_action_False,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
aggregated_graph_std-007-bootstrap-00044,unknown_False,80.0,12.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00045,completed_True,16.0,4.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00046,completed_True,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00047,completed_True,8.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00049,completed_True,159.0,8.0,8.0,5.0,2.0,3.0,3.0,1.0,2.0,2.0,5.0,2.0
aggregated_graph_std-007-bootstrap-00052,completed_True,12.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
aggregated_graph_std-007-bootstrap-00054,agent_invalid_action_False,252.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00057,completed_True,10.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00058,completed_False,8.0,21.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00059,completed_False,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
aggregated_graph_std-007-bootstrap-00060,completed_False,18.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
aggregated_graph_std-007-bootstrap-00061,completed_False,50.0,7.0,5.0,5.0,2.0,3.0,2.0,1.0,1.0,2.0,5.0,1.0
aggregated_graph_std-007-bootstrap-00064,completed_False,2.0,26.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00066,completed_False,98.0,10.0,1.0,4.0,2.0,5.0,3.0,1.0,1.0,1.0,6.0,0.0
aggregated_graph_std-007-bootstrap-00068,completed_False,3.0,8.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
