run_id,label,density,avg_statements_per_step,avg_intentions_per_goal
aggregated_graph_std-007-bootstrap-00022,completed_False,0.023784355179704016,7.0,0.0
aggregated_graph_std-007-bootstrap-00023,completed_False,0.0059593428014480644,16.0,0.14285714285714285
aggregated_graph_std-007-bootstrap-00024,completed_False,0.003396549876781314,52.2,0.0
aggregated_graph_std-007-bootstrap-00025,completed_True,0.01589506172839506,4.5,1.0
aggregated_graph_std-007-bootstrap-00026,completed_False,0.025901942645698426,7.0,0.0
aggregated_graph_std-007-bootstrap-00027,completed_True,0.01445966514459665,17.333333333333332,0.0
aggregated_graph_std-007-bootstrap-00028,completed_True,0.06578947368421052,2.5,0.5
aggregated_graph_std-007-bootstrap-00029,agent_invalid_action_False,0.1,0.0,0.0
aggregated_graph_std-007-bootstrap-00030,completed_False,0.017796610169491526,21.5,0.0
aggregated_graph_std-007-bootstrap-00031,completed_False,0.032716927453769556,4.0,0.3333333333333333
aggregated_graph_std-007-bootstrap-00032,completed_True,0.05533596837944664,1.5,0.5
aggregated_graph_std-007-bootstrap-00034,completed_True,0.02077922077922078,5.333333333333333,0.0
aggregated_graph_std-007-bootstrap-00036,completed_True,0.02349290780141844,8.666666666666666,0.0
aggregated_graph_std-007-bootstrap-00037,completed_True,0.022745098039215685,9.666666666666666,0.0
aggregated_graph_std-007-bootstrap-00038,completed_True,0.018753781004234724,15.5,0.0
aggregated_graph_std-007-bootstrap-00039,agent_invalid_action_False,0.03015873015873016,11.5,0.0
aggregated_graph_std-007-bootstrap-00040,completed_True,0.005903637402399543,27.0,0.0
aggregated_graph_std-007-bootstrap-00041,agent_invalid_action_False,0.08974358974358974,0.0,0.0
aggregated_graph_std-007-bootstrap-00044,unknown_False,0.006467661691542288,20.0,0.0
aggregated_graph_std-007-bootstrap-00045,completed_True,0.035037878787878785,8.0,0.0
aggregated_graph_std-007-bootstrap-00046,completed_True,0.02923076923076923,0.0,0.0
aggregated_graph_std-007-bootstrap-00047,completed_True,0.04891304347826087,4.0,0.0
aggregated_graph_std-007-bootstrap-00049,completed_True,0.005715506650285775,31.8,1.6
aggregated_graph_std-007-bootstrap-00052,completed_True,0.04743083003952569,12.0,0.0
aggregated_graph_std-007-bootstrap-00054,agent_invalid_action_False,0.003937007874015748,252.0,0.0
aggregated_graph_std-007-bootstrap-00057,completed_True,0.04891304347826087,5.0,0.0
aggregated_graph_std-007-bootstrap-00058,completed_False,0.0272938443670151,4.0,0.5
aggregated_graph_std-007-bootstrap-00059,completed_False,0.05844155844155844,2.0,0.5
aggregated_graph_std-007-bootstrap-00060,completed_False,0.034759358288770054,9.0,0.5
aggregated_graph_std-007-bootstrap-00061,completed_False,0.014145658263305322,10.0,1.0
aggregated_graph_std-007-bootstrap-00064,completed_False,0.02804878048780488,1.0,0.5
aggregated_graph_std-007-bootstrap-00066,completed_False,0.007924095506203733,16.333333333333332,0.25
aggregated_graph_std-007-bootstrap-00068,completed_False,0.04833333333333333,1.5,0.0
aggregated_graph_std-007-bootstrap-00069,completed_False,0.017361111111111112,14.333333333333334,0.0
aggregated_graph_std-007-bootstrap-00070,completed_False,0.005498281786941581,33.2,0.25
aggregated_graph_std-007-bootstrap-00071,completed_False,0.05253623188405797,3.0,0.5
aggregated_graph_std-007-bootstrap-00073,completed_False,0.01826923076923077,15.0,1.5
aggregated_graph_std-007-bootstrap-00074,completed_False,0.1527777777777778,0.0,1.0
aggregated_graph_std-007-bootstrap-00075,completed_False,0.007852077001013171,13.5,0.0
aggregated_graph_std-007-bootstrap-00076,agent_invalid_action_False,0.1111111111111111,0.0,0.0
aggregated_graph_std-007-bootstrap-00077,completed_False,0.04064039408866995,6.5,0.0
aggregated_graph_std-007-bootstrap-00078,agent_invalid_action_False,0.14285714285714285,0.0,0.0
aggregated_graph_std-007-bootstrap-00080,completed_False,0.042735042735042736,0.5,0.0
aggregated_graph_std-007-bootstrap-00081,completed_False,0.02423469387755102,9.666666666666666,0.6666666666666666
aggregated_graph_std-007-bootstrap-00082,completed_True,0.08088235294117647,0.0,0.5
aggregated_graph_std-007-bootstrap-00083,agent_invalid_action_False,0.014001806684733513,20.666666666666668,1.6666666666666667
aggregated_graph_std-007-bootstrap-00085,completed_True,0.05714285714285714,0.5,0.0
aggregated_graph_std-007-bootstrap-00087,completed_False,0.01138316151202749,19.0,0.5
